Image Link,Name of movie,Year of release,Certificate,Runtime (min),Genre,Rating,MetaScore,Votes,Grosses,Description,Director,Stars
"https://m.media-amazon.com/images/M/MV5BMTUyNDIyMTA4NV5BMl5BanBnXkFtZTgwODM2MDMxNjE@._V1_UY209_CR0,0,140,209_AL_.jpg",The Stanford Prison Experiment,2015,R,122,"Biography, Drama, History",6.8,67,"45,122",$0.64M,"In 1971, twenty-four male students are selected to take on randomly assigned roles of prisoners and guards in a mock prison situated in the basement of the Stanford psychology building.",Kyle Patrick Alvarez,"Ezra Miller, Tye Sheridan, Billy Crudup, Olivia Thirlby"
"https://m.media-amazon.com/images/M/MV5BYzgyODk5YjQtNzM4Yy00NjM1LWJjNjAtYzM0MjZmNDgwYmNjXkEyXkFqcGdeQXVyMTUzMDUzNTI3._V1_UX140_CR0,0,140,209_AL_.jpg",Capricorn One,1977,N/A,123,"Action, Adventure, Drama",6.8,38,"23,964",*****,"When the first manned flight to Mars is deemed unsafe and scrubbed on the launch pad, anxious authorities must scramble to save face and retain their funding - and so an unthinkable plot to fake the mission is hatched.",Peter Hyams,"Elliott Gould, James Brolin, Brenda Vaccaro, Sam Waterston"
"https://m.media-amazon.com/images/M/MV5BZmYwYWRhY2MtNTU3NS00M2E0LWI5YjUtY2M1NGJkM2Y4NTdmXkEyXkFqcGdeQXVyNjU0NTI0Nw@@._V1_UY209_CR0,0,140,209_AL_.jpg",The Last Seduction,1994,R,110,"Crime, Drama, Romance",7,85,"25,025",$6.14M,A devious sexpot steals her husband's drug money and hides out in a small town where she meets the perfect dupe for her next scheme.,John Dahl,"Linda Fiorentino, Peter Berg, Bill Pullman, Michael Raysses"
"https://m.media-amazon.com/images/M/MV5BMmM4YzQxMmYtYTRjMy00MWFjLWFmY2YtZDBiYmI5ZjVlMWQxXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX140_CR0,0,140,209_AL_.jpg",House on Haunted Hill,1959,N/A,75,"Crime, Horror, Mystery",6.8,^^^^^^,"29,460",*****,"A millionaire offers $10,000 to five people who agree to be locked in a large, spooky, rented house overnight with him and his wife.",William Castle,"Vincent Price, Carol Ohmart, Richard Long, Alan Marshal"
"https://m.media-amazon.com/images/M/MV5BNjAxOGVjZjktNjc1Ny00NGYyLWEwYWUtNDZhMDJmZmQzMjIzXkEyXkFqcGdeQXVyNjc5NjEzNA@@._V1_UX140_CR0,0,140,209_AL_.jpg",Local Hero,1983,N/A,111,"Comedy, Drama",7.3,84,"25,853",$5.90M,"An American oil company has plans for a new refinery and sends someone to Scotland to buy up an entire village, but things don't go as expected.",Bill Forsyth,"Burt Lancaster, Peter Riegert, Fulton Mackay, Denis Lawson"
"https://m.media-amazon.com/images/M/MV5BODM3NzE0NTMxOF5BMl5BanBnXkFtZTYwMTIzNTk5._V1_UY209_CR0,0,140,209_AL_.jpg",Malibu's Most Wanted,2003,PG-13,86,"Comedy, Crime",5.2,43,"20,476",$34.31M,"A senator arranges for his son, a rich white kid who fancies himself black, to be kidnapped by a couple of black actors pretending to be murderers to try and shock him out of his plans to become a rapper.",John Whitesell,"Jamie Kennedy, Ryan O'Neal, Blair Underwood, Taye Diggs"
"https://m.media-amazon.com/images/M/MV5BNDc3MWUwNjgtMjg1My00NzljLWFmMDMtNGRhNzJmNzk4MDllXkEyXkFqcGdeQXVyMjQwMjk0NjI@._V1_UX140_CR0,0,140,209_AL_.jpg",Xin shao lin si,2011,R,131,"Action, Drama",6.8,53,"19,966",$0.06M,"After ambushing and killing his rival, losing everything in the process, dispirited warlord Hou Jie turns to a Shaolin monastery seeking salvation.",Benny Chan,"Shaoqun Yu, Chen Zhiui, Xing Yu, Jing Wu"
"https://m.media-amazon.com/images/M/MV5BZmJjNmY5MmEtMWVmOS00N2UyLWFmZWQtZjkyNDg5NzdjNGMyXkEyXkFqcGdeQXVyMTA1OTAyOTI@._V1_UY209_CR0,0,140,209_AL_.jpg",The Pagemaster,1994,N/A,80,"Animation, Adventure, Comedy",6.1,^^^^^^,"24,831",$13.67M,"A cowardly boy, who buries himself in accident statistics, enters a library to escape a storm, only to be transformed into an animated illustration by the Pagemaster. He has to work through obstacles from classic books to return to real-life.","Directors:Pixote Hunt, Joe Johnston","Macaulay Culkin, Christopher Lloyd, Kanin Howell, Alexis Kirschner"
"https://m.media-amazon.com/images/M/MV5BM2NiMWM2YzctNDRiNi00NmUxLTk3NWItMjA4OTY5NzhlYjQyXkEyXkFqcGdeQXVyMTAxODYyODI@._V1_UX140_CR0,0,140,209_AL_.jpg",Creepshow 2,1987,A,92,"Fantasy, Horror",6,39,"27,417",$14.00M,"Three macabre tales from the latest issue of a boy's favorite comic book, dealing with a vengeful wooden Native American, a monstrous blob in a lake, and an undying hitchhiker.",Michael Gornick,"George Kennedy, Lois Chiles, Domenick John, Tom Savini"
"https://m.media-amazon.com/images/M/MV5BMGE2NWY0MzctYmRmYS00YzY1LWJlZTItYzc1YjQ4Y2MxZTkwXkEyXkFqcGdeQXVyNjc5NjEzNA@@._V1_UX140_CR0,0,140,209_AL_.jpg",Thief,1981,N/A,123,"Action, Crime, Drama",7.4,78,"36,506",$11.49M,An ace safe cracker wants to do one last big heist for the mob before going straight.,Michael Mann,"James Caan, Tuesday Weld, Willie Nelson, Jim Belushi"
